,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Customer Status,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
0,0,0.29508196721311475,1,0,2,0.11267605633802817,False,1,0,1,0,2,0,2,2,0,0,2,1,0.5871844660194174,0.06629356104315716,0.0,0.0,0.10702383356897598,1,True,False,False,False,True,False,False,True,False
1,1,0.4426229508196722,0,0,0,0.11267605633802817,False,1,2,1,0,0,0,0,0,2,2,0,0,0.04660194174757281,0.060420032310177715,0.7698332998594094,0.06666666666666667,0.02698949707129873,1,True,False,False,True,False,False,False,True,False
2,1,0.5081967213114754,0,0,0,0.04225352112676056,True,1,0,1,0,0,2,0,0,0,0,2,1,0.6516504854368932,0.03023886452804062,0.0,0.0,0.037758926367288316,0,False,False,True,True,False,False,True,False,False
3,1,0.9672131147540984,1,0,1,0.16901408450704225,True,1,0,1,0,2,2,0,2,2,0,2,1,0.8388349514563106,0.14067043618739902,0.0,0.0,0.10145537377409729,0,False,False,True,True,False,False,True,False,False
4,0,0.9180327868852459,1,0,3,0.02816901408450704,False,1,0,1,0,0,0,2,2,0,0,2,1,0.7293203883495145,0.028686822063235633,0.0,0.0,0.006210866491617856,0,False,False,True,True,False,False,False,True,False
5,0,0.0655737704918033,0,3,0,0.11267605633802817,True,1,0,1,0,0,0,2,2,2,2,2,1,0.6166990291262135,0.06377221324717287,0.0,0.0,0.04233993132700465,1,True,False,False,True,False,False,False,True,False
6,0,0.7868852459016394,1,0,1,0.9859154929577465,True,1,0,1,2,2,2,2,2,2,2,2,1,0.9297087378640776,0.9099296099699977,0.0,0.0,0.1983774321685855,1,False,False,True,False,False,True,True,False,False
7,1,0.5409836065573771,1,0,8,0.8732394366197184,True,1,2,1,2,0,0,2,0,0,0,0,1,0.7351456310679612,0.6183937225940457,0.0,0.13333333333333333,0.22904463744698045,1,False,False,True,False,False,True,False,True,False
8,0,0.8032786885245903,0,0,0,0.08450704225352114,True,1,0,1,2,0,0,0,0,0,0,2,1,0.45203883495145636,0.03710477729056082,0.0,0.0,0.020677640880630177,1,False,True,False,False,False,True,True,False,False
9,0,0.39344262295081966,1,1,3,0.9014084507042254,False,1,2,1,2,2,2,2,2,2,2,2,1,0.7801941747572815,0.6853334871913224,0.0,0.0,0.518946789649678,1,True,False,False,False,False,True,False,True,False
